I1,I2,T1,T2
0.05,0.01,25.40000000000001,25.96
0.060000000000000005,0.01,25.56666666666666,25.880000000000006
0.51,0.01,35.80000000000001,24.65
0.52,0.01,36.28,24.59999999999999
0.11,0.01,26.33333333333334,25.72
0.12000000000000001,0.01,26.433333333333334,25.760000000000005
0.47,0.01,34.12,24.800000000000008
0.48,0.01,34.6,24.700000000000003
0.16999999999999998,0.01,27.199999999999985,25.599999999999994
0.18,0.01,27.40000000000001,25.559999999999995
0.49,0.01,34.95999999999999,24.70000000000001
0.5,0.01,35.360000000000014,24.699999999999985
0.22999999999999998,0.01,28.24,25.400000000000006
0.24,0.01,28.44,25.36
0.33,0.01,30.199999999999996,25.199999999999985
0.33999999999999997,0.01,30.440000000000005,25.119999999999994
0.63,0.01,13.549000000000005,10.947833333333335
0.64,0.01,8.984977776454715,7.157916087069106
0.13,0.01,26.59999999999999,25.72
0.14,0.01,26.699999999999985,25.71999999999999
0.41,0.01,32.239999999999995,24.960000000000004
0.42,0.01,32.600000000000016,24.880000000000006
0.6100000000000001,0.01,14.916666666666668,10.090909090909093
0.6200000000000001,0.01,13.851666666666665,10.763499999999999
0.27,0.01,28.920000000000012,25.360000000000014
0.28,0.01,29.16,25.320000000000007
0.29,0.01,29.36,25.280000000000015
0.3,0.01,29.56,25.239999999999995
0.53,0.01,36.760000000000005,24.59999999999999
0.54,0.01,37.360000000000014,24.5
0.21000000000000002,0.01,27.90000000000001,25.479999999999997
0.22000000000000003,0.01,28.000000000000004,25.479999999999997
0.35,0.01,30.68,25.08
0.36,0.01,30.96,25.08
0.65,0.01,6.103584260253867,5.112551166650875
0.15000000000000002,0.01,26.866666666666674,25.68
0.16,0.01,27.100000000000012,25.599999999999987
0.37,0.01,31.159999999999982,25.080000000000005
0.38,0.01,31.4,25.04
0.5900000000000001,0.01,41.30000000000001,24.349999999999994
0.6000000000000001,0.01,42.900000000000006,24.299999999999997
0.19,0.01,27.56666666666666,25.520000000000003
0.2,0.01,27.699999999999985,25.560000000000006
0.39,0.01,31.679999999999996,25.0
0.4,0.01,31.96000000000002,24.959999999999987
0.5700000000000001,0.01,39.36000000000002,24.39999999999999
0.5800000000000001,0.01,40.25,24.35000000000001
0.25,0.01,28.6,25.360000000000014
0.26,0.01,28.71999999999998,25.40000000000001
0.31,0.01,29.800000000000004,25.200000000000003
0.32,0.01,30.04,25.159999999999997
0.55,0.01,37.920000000000016,24.499999999999996
0.56,0.01,38.519999999999996,24.499999999999996
I1,I2,T1,T2
0.65,0.16,13.882833333333338,10.733833333333335
0.65,0.17,13.98333333333333,10.683333333333339
0.65,0.42,37.80000000000001,29.6
0.65,0.43,37.6,29.800000000000015
0.65,0.22,16.961636363636366,9.274727272727276
0.65,0.23,38.88,21.90000000000001
0.65,0.45999999999999996,36.94999999999999,30.4
0.65,0.47,36.850000000000016,30.55
0.65,0.2,14.699999999999998,10.21818181818182
0.65,0.21000000000000002,15.2,9.945454545454545
0.65,0.44,37.4,30.0
0.65,0.45,37.19999999999999,30.199999999999985
0.65,0.1,12.717884615384614,10.23558974358974
0.65,0.11000000000000001,13.535499999999999,10.897166666666662
0.65,0.38,38.65,28.949999999999985
0.65,0.39,38.4,29.15000000000002
0.65,0.24000000000000002,43.25300000000002,26.796999999999993
0.65,0.25,42.649999999999984,26.9
0.65,0.5,36.350000000000016,31.050000000000015
0.65,0.51,36.05000000000001,31.35
0.65,0.26,42.100000000000016,27.050000000000015
0.65,0.27,41.69999999999999,27.199999999999985
0.65,0.48,36.69999999999999,30.699999999999985
0.65,0.49,36.44999999999999,30.95
0.65,0.04,6.049591430490983,4.799546359883742
0.65,0.05,6.969340957286533,5.523680387935457
0.65,0.27999999999999997,41.30000000000001,27.399999999999988
0.65,0.29,40.94999999999999,27.550000000000015
0.65,0.52,35.80000000000001,31.6
0.65,0.53,35.5,31.85
0.65,0.14,13.671000000000008,10.851833333333326
0.65,0.15,13.80033333333333,10.766333333333334
0.65,0.32,40.05000000000001,28.000000000000004
0.65,0.32999999999999996,39.85,28.1
0.65,0.54,35.25,32.05000000000001
0.65,0.55,31.760000000000005,30.199999999999985
0.65,0.12,13.672500000000003,10.782166666666662
0.65,0.13,13.619833333333336,10.863500000000002
0.65,0.36,39.1,28.6
0.65,0.37,38.850000000000016,28.800000000000015
0.65,0.62,29.360000000000003,27.840000000000018
0.65,0.63,29.28000000000002,28.079999999999988
0.65,0.06,7.715699364014115,6.088429008278779
0.65,0.07,12.836652025528752,10.499323417259625
0.65,0.33999999999999997,39.6,28.250000000000004
0.65,0.35,39.25,28.550000000000015
0.65,0.5800000000000001,31.878400000000003,30.852000000000018
0.65,0.5900000000000001,31.920000000000012,31.15
0.65,0.08,11.645086080586085,9.611456776556775
0.65,0.09,13.40816666666667,11.048166666666667
0.65,0.3,40.55000000000001,27.80000000000002
0.65,0.31,40.4,27.800000000000015
0.65,0.56,31.880000000000006,30.35
0.65,0.5700000000000001,31.84,30.600000000000005
0.65,0.18000000000000002,14.16666666666667,10.527272727272727
0.65,0.19,14.367500000000009,10.417272727272719
0.65,0.39999999999999997,38.25000000000001,29.19999999999998
0.65,0.41,38.00000000000001,29.449999999999985
0.65,0.6000000000000001,31.231999999999992,29.709999999999994
0.65,0.6100000000000001,29.6,27.6
I1,I2,T1,T2
0.16,0.65,10.249538461538457,13.747000000000005
0.17,0.65,10.174307692307693,13.863499999999995
0.39999999999999997,0.65,23.599999999999994,38.4
0.41,0.65,23.760000000000005,38.19999999999999
0.18000000000000002,0.65,9.983333333333334,14.033333333333333
0.19,0.65,9.949999999999994,14.166666666666675
0.42,0.65,23.800000000000015,38.1
0.43,0.65,24.07999999999999,37.69999999999999
0.14,0.65,10.280461538461541,13.580333333333328
0.15,0.65,10.258461538461543,13.669833333333337
